Indicator,Unit,Monetisation method,Indicator definition
Biodiversity restoration through reforestation (none),m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)",No Biodiversity Offsetting Scheme                                                                                                                                                   
Biphenyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Biphenyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Boscalid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Boscalid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Bromophos-ethyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Bromophos-ethyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Bromoxynil,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Bromoxynil [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Buprofezin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Buprofezin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Butylate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Butylate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cadusafos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cadusafos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Captafol,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Captafol [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Carbaryl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Carbaryl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Carbendazim,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Carbendazim [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Carbofuran,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Carbofuran [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Carbon offsetting through reforestation,kgCO?/kg,"Same as climate change but reveresed. A restoration cost which expresses the abatement cost for achieving the policy targets of reducing greenhouse gas emissions to meet the 2-degree target as set in the Paris Agreement, based on a meta-study of 62 marginal abatement cost estimates (Kuik et al., 2009). (True Price 2023)","Represents The Potential Carbon Sequestration Achieved By Reforesting Land, Offsetting Greenhouse Gas Emissions.                                                                                                                                          "
Carboxin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Carboxin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cartap,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cartap [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cases of fatal occupational injury,incidents/kg,"The cost is calculated based on compensation, prevention, and retribution. Compensation includes medical expenses for uninsured occupational injuries, health loss (DALY) for non-fatal cases, and the value of statistical life (VSL) for fatal incidents. Prevention covers the cost of auditing to prevent future violations. Retribution is a global penalty for workplaces violating Health and Safety regulations.","Measures The Number Of Work-related Deaths Per Unit Of Output, Highlighting Workplace Safety Failures And The Need For Stronger Protections.                                                                                                                                   "
"Cases of non-fatal occupational injury, insured",incidents/kg,"The cost is calculated based on compensation, prevention, and retribution. Compensation includes medical expenses for uninsured occupational injuries, health loss (DALY) for non-fatal cases, and the value of statistical life (VSL) for fatal incidents. Prevention covers the cost of auditing to prevent future violations. Retribution is a global penalty for workplaces violating Health and Safety regulations.","Tracks Workplace Accidents Resulting In Injury Among Insured Workers, Emphasizing The Role Of Social Protection In Mitigating Financial And Health Risks.                                                                                                                                  "
"Cases of non-fatal occupational injury, uninsured",incidents/kg,"The cost is calculated based on compensation, prevention, and retribution. Compensation includes medical expenses for uninsured occupational injuries, health loss (DALY) for non-fatal cases, and the value of statistical life (VSL) for fatal incidents. Prevention covers the cost of auditing to prevent future violations. Retribution is a global penalty for workplaces violating Health and Safety regulations.","Measures Workplace Accidents Affecting Workers Without Insurance, Highlighting Vulnerabilities In Labor Protection Systems.                                                                                                                                          "
"Children in hazardous work by sex, age and economic activity (12-14)",FTE-child/kg,"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.","Quantifies The Prevalence Of Children In Dangerous Work Environments, Disaggregated By Age And Gender, Highlighting Rights Violations (12-14 Years Old).                                                                                                                                   "
"Children in hazardous work by sex, age and economic activity (15-17)",FTE-child/kg,"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.","Quantifies The Prevalence Of Children In Dangerous Work Environments, Disaggregated By Age And Gender, Highlighting Rights Violations  (15-17 Years Old).                                                                                                                                  "
"Children in hazardous work by sex, age and economic activity (5-11)",FTE-child/kg,"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.","Quantifies The Prevalence Of Children In Dangerous Work Environments, Disaggregated By Age And Gender, Highlighting Rights Violations  (5-11 Years Old).                                                                                                                                  "
"Children in non-hazardous work by sex, age and economic activity (12-14)",FTE-child/kg,"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.",Measures The Number Of Children Engaged In Work That Does Not Classify As Hazardous But May Still Interfere With Education And Development  (12-14 Years Old).                                                                                                                             
"Children in non-hazardous work by sex, age and economic activity (15-17)",FTE-child/kg,"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.",Measures The Number Of Children Engaged In Work That Does Not Classify As Hazardous But May Still Interfere With Education And Development  (15-17 Years Old).                                                                                                                             
"Children in non-hazardous work by sex, age and economic activity (5-11)",FTE-child/kg,"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.",Measures The Number Of Children Engaged In Work That Does Not Classify As Hazardous But May Still Interfere With Education And Development (5-11).                                                                                                                                
Chlorantraniliprole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorantraniliprole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorfenapyr,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorfenapyr [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorfenson,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorfenson [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorfenvinphos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorfenvinphos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorobenzilate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorobenzilate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorothalonil,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorothalonil [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorpropham,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorpropham [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorpyrifos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorpyrifos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorpyrifos-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorpyrifos-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlorsulfuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlorsulfuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Chlozolinate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Chlozolinate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Climate change - gwp100,kg co2-eq,"A restoration cost which expresses the abatement cost for achieving the policy targets of reducing greenhouse gas emissions to meet the 2-degree target as set in the Paris Agreement, based on a meta-study of 62 marginal abatement cost estimates (Kuik et al., 2009). (True Price 2023)","Climate Change [kg Co2-eq] Is Defined As The Long-term Warming Of The Planet’s Overall Temperature. Human-induced Global Warming Is Driven By High Emitting Activities Such As Fossil Fuels Burning, Livestock Raising, And Land-use Change. This Results In Very Serious Threats Such As An Increase In Frequency Of Extreme Weather Events, Sea Levels Rising, Ecosystems Disruption, With High Consequences For Our Lives And Livelihood Such As Famine, Mass Migration And War. The Food And Agriculture System Is Responsible For A Third Of The Global Anthropogenic Emissions, And The Main Driver For N2o And Ch4 Emissions, With 82\% And 44\% Respectively. Agriculture-induced Emissions Mostly Involve Soil Cultivation (e.g., Tillage), Soil Decomposition, Input-uses (e.g., Fossil Fuels, Pesticides, Fertilizer), And Machinery Use.                                 "
Clofentezine,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Clofentezine [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Clothianidin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Clothianidin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cyantraniliprole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyantraniliprole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cyazofamid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyazofamid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cyfluthrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyfluthrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cyhalofop-butyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyhalofop-butyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cyhalothrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyhalothrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cyhalothrin (includes lambda-cyhalothrin),mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyhalothrin (includes Lambda-cyhalothrin) [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                          "
Cypermethrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cypermethrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cypermethrins,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cypermethrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Cypermethrins(including alpha- andzeta-cypermethrin),mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cypermethrins(including Alpha- Andzeta-cypermethrin) [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                          "
Cyproconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyproconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
"Cyproconazole (coffeebeans, roasted )",mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyproconazole (coffeebeans, Roasted ) [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                         "
Cyromazine,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Cyromazine [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Dalapon,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Dalapon [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Daminozide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Daminozide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Diazinon,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Diazinon [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Dicamba,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Dicamba [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Dichlorvos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Dichlorvos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
