"Indicator";"Unit";"Monetisation method";"Indicator definition"
"Boscalid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Boscalid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Bromophos-ethyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Bromophos-ethyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Bromoxynil";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Bromoxynil [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Buprofezin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Buprofezin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Butylate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Butylate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cadusafos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cadusafos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Captafol";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Captafol [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Carbaryl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Carbaryl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Carbendazim";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Carbendazim [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Carbofuran";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Carbofuran [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Carbon offsetting through reforestation";"kgCO?/kg";"Same as climate change but reveresed. A restoration cost which expresses the abatement cost for achieving the policy targets of reducing greenhouse gas emissions to meet the 2-degree target as set in the Paris Agreement, based on a meta-study of 62 marginal abatement cost estimates (Kuik et al., 2009). (True Price 2023)";"Represents the potential carbon sequestration achieved by reforesting land, offsetting greenhouse gas emissions.                                                                                                                                          "
"Carboxin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Carboxin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cartap";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cartap [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cases of fatal occupational injury";"incidents/kg";"The cost is calculated based on compensation, prevention, and retribution. Compensation includes medical expenses for uninsured occupational injuries, health loss (DALY) for non-fatal cases, and the value of statistical life (VSL) for fatal incidents. Prevention covers the cost of auditing to prevent future violations. Retribution is a global penalty for workplaces violating Health and Safety regulations.";"Measures the number of work-related deaths per unit of output, highlighting workplace safety failures and the need for stronger protections.                                                                                                                                   "
"Cases of non-fatal occupational injury, insured";"incidents/kg";"The cost is calculated based on compensation, prevention, and retribution. Compensation includes medical expenses for uninsured occupational injuries, health loss (DALY) for non-fatal cases, and the value of statistical life (VSL) for fatal incidents. Prevention covers the cost of auditing to prevent future violations. Retribution is a global penalty for workplaces violating Health and Safety regulations.";"Tracks workplace accidents resulting in injury among insured workers, emphasizing the role of social protection in mitigating financial and health risks.                                                                                                                                  "
"Cases of non-fatal occupational injury, uninsured";"incidents/kg";"The cost is calculated based on compensation, prevention, and retribution. Compensation includes medical expenses for uninsured occupational injuries, health loss (DALY) for non-fatal cases, and the value of statistical life (VSL) for fatal incidents. Prevention covers the cost of auditing to prevent future violations. Retribution is a global penalty for workplaces violating Health and Safety regulations.";"Measures workplace accidents affecting workers without insurance, highlighting vulnerabilities in labor protection systems.                                                                                                                                          "
"Children in hazardous work by sex, age and economic activity (12-14)";"FTE-child/kg";"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.";"Quantifies the prevalence of children in dangerous work environments, disaggregated by age and gender, highlighting rights violations (12-14 years old).                                                                                                                                   "
"Children in hazardous work by sex, age and economic activity (15-17)";"FTE-child/kg";"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.";"Quantifies the prevalence of children in dangerous work environments, disaggregated by age and gender, highlighting rights violations  (15-17 years old).                                                                                                                                  "
"Children in hazardous work by sex, age and economic activity (5-11)";"FTE-child/kg";"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.";"Quantifies the prevalence of children in dangerous work environments, disaggregated by age and gender, highlighting rights violations  (5-11 years old).                                                                                                                                  "
"Children in non-hazardous work by sex, age and economic activity (12-14)";"FTE-child/kg";"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.";"Measures the number of children engaged in work that does not classify as hazardous but may still interfere with education and development  (12-14 years old).                                                                                                                             "
"Children in non-hazardous work by sex, age and economic activity (15-17)";"FTE-child/kg";"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.";"Measures the number of children engaged in work that does not classify as hazardous but may still interfere with education and development  (15-17 years old).                                                                                                                             "
"Children in non-hazardous work by sex, age and economic activity (5-11)";"FTE-child/kg";"The cost is computed as a combination of four factors: restoration, compensation, prevention, and retribution. Restoration covers the cost of education and reintegration programs for affected children. Compensation accounts for lost future earnings due to missed schooling. Prevention includes the cost of auditing to prevent future cases. Retribution is a penalty based on global averages for child labour violations.";"Measures the number of children engaged in work that does not classify as hazardous but may still interfere with education and development (5-11).                                                                                                                                "
"Chlorantraniliprole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorantraniliprole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorfenapyr";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorfenapyr [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorfenson";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorfenson [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorfenvinphos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorfenvinphos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorobenzilate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorobenzilate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorothalonil";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorothalonil [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorpropham";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorpropham [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorpyrifos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorpyrifos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorpyrifos-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorpyrifos-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlorsulfuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlorsulfuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Chlozolinate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Chlozolinate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Climate change - gwp100";"kg co2-eq";"A restoration cost which expresses the abatement cost for achieving the policy targets of reducing greenhouse gas emissions to meet the 2-degree target as set in the Paris Agreement, based on a meta-study of 62 marginal abatement cost estimates (Kuik et al., 2009). (True Price 2023)";"Climate change [kg CO2-eq] is defined as the long-term warming of the planet\92s overall temperature. Human-induced global warming is driven by high emitting activities such as fossil fuels burning, livestock raising, and land-use change. This results in very serious threats such as an increase in frequency of extreme weather events, sea levels rising, ecosystems disruption, with high consequences for our lives and livelihood such as famine, mass migration and war. The food and agriculture system is responsible for a third of the global anthropogenic emissions, and the main driver for N2O and CH4 emissions, with 82\% and 44\% respectively. Agriculture-induced emissions mostly involve soil cultivation (e.g., tillage), soil decomposition, input-uses (e.g., fossil fuels, pesticides, fertilizer), and machinery use.                                 "
"Clofentezine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Clofentezine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Clothianidin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Clothianidin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyantraniliprole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyantraniliprole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyazofamid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyazofamid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyfluthrin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyfluthrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyhalofop-butyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyhalofop-butyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyhalothrin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyhalothrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyhalothrin (includes lambda-cyhalothrin)";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyhalothrin (includes lambda-cyhalothrin) [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                          "
"Cypermethrin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cypermethrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cypermethrins";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cypermethrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cypermethrins(including alpha- andzeta-cypermethrin)";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cypermethrins(including alpha- andzeta-cypermethrin) [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                          "
"Cyproconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyproconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Cyproconazole (coffeebeans, roasted )";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyproconazole (coffeebeans, roasted ) [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                         "
"Cyromazine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Cyromazine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dalapon";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dalapon [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Daminozide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Daminozide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Diazinon";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Diazinon [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dicamba";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dicamba [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dichlorvos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dichlorvos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Diflubenzuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Diflubenzuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dimethipin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dimethipin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dimethoate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dimethoate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dinocap";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dinocap [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
